year,GEO,product_category,VALUE
2017,Alberta,Beef,15.86
2017,Alberta,Chicken,8.86
2017,Alberta,Fruits,3.49
2017,Alberta,Other,3.86
2017,Alberta,Pork,8.59
2017,Alberta,Sea food,22.33
2017,Alberta,Vegetables,1.98
2017,British Columbia,Beef,15.83
2017,British Columbia,Chicken,8.82
2017,British Columbia,Fruits,3.31
2017,British Columbia,Other,3.94
2017,British Columbia,Pork,8.45
2017,British Columbia,Sea food,23.52
2017,British Columbia,Vegetables,1.96
2017,Manitoba,Beef,15.21
2017,Manitoba,Chicken,8.42
2017,Manitoba,Fruits,3.36
2017,Manitoba,Other,3.87
2017,Manitoba,Pork,8.35
2017,Manitoba,Sea food,21.02
2017,Manitoba,Vegetables,1.89
2017,New Brunswick,Beef,15.0
2017,New Brunswick,Chicken,7.55
2017,New Brunswick,Fruits,3.65
2017,New Brunswick,Other,4.42
2017,New Brunswick,Pork,6.27
2017,New Brunswick,Sea food,20.11
2017,New Brunswick,Vegetables,2.19
2017,Newfoundland and Labrador,Beef,15.62
2017,Newfoundland and Labrador,Chicken,7.73
2017,Newfoundland and Labrador,Fruits,4.12
2017,Newfoundland and Labrador,Other,5.0
2017,Newfoundland and Labrador,Pork,6.46
2017,Newfoundland and Labrador,Sea food,20.39
2017,Newfoundland and Labrador,Vegetables,2.27
2017,Nova Scotia,Beef,14.93
2017,Nova Scotia,Chicken,7.49
2017,Nova Scotia,Fruits,3.71
2017,Nova Scotia,Other,4.38
2017,Nova Scotia,Pork,6.33
2017,Nova Scotia,Sea food,19.66
2017,Nova Scotia,Vegetables,2.2
2017,Ontario,Beef,16.19
2017,Ontario,Chicken,7.78
2017,Ontario,Fruits,3.31
2017,Ontario,Other,3.64
2017,Ontario,Pork,6.91
2017,Ontario,Sea food,24.27
2017,Ontario,Vegetables,1.73
2017,Prince Edward Island,Beef,15.09
2017,Prince Edward Island,Chicken,7.39
2017,Prince Edward Island,Fruits,3.74
2017,Prince Edward Island,Other,4.42
2017,Prince Edward Island,Pork,6.35
2017,Prince Edward Island,Sea food,19.86
2017,Prince Edward Island,Vegetables,2.2
2017,Quebec,Beef,18.16
2017,Quebec,Chicken,8.38
2017,Quebec,Fruits,3.52
2017,Quebec,Other,3.81
2017,Quebec,Pork,7.36
2017,Quebec,Sea food,22.45
2017,Quebec,Vegetables,1.76
2017,Saskatchewan,Beef,14.9
